id,German,Article,Plural,English,CEFR,WordType,VocabularyQuizEligible,ArticleQuizEligible,ProblemFlag,ProblemType,SourcePage,RawEntry,Notes
b1_0789,Fachleute,die,,,B1,noun,yes,yes,yes,multi_word_expression,38,die Fachleute (Pl.),
b1_0793,erst-,,,,B1,word_part,review,no,no,,38,erst-,word_part_or_prefix
b1_0806,Etage,die,"-n (D, CH)",,B1,noun,yes,yes,yes,regional_variant,38,"die Etage, -n (D, CH) →",regional_variant_or_reference
b1_0812,Faschierte,das,,,B1,noun,yes,yes,yes,regional_variant,39,"das Faschierte (A) →D,",regional_variant_or_reference
b1_0813,Fasching,der,"- (D, A)",,B1,noun,yes,yes,yes,regional_variant,39,"der Fasching, - (D, A) →D:",regional_variant_or_reference
b1_0814,Karneval; CH: Fasnacht,,,,B1,phrase,yes,no,yes,multi_word_expression,39,Karneval; CH: Fasnacht,
b1_0815,Fasnacht,die,A:,,B1,noun,yes,yes,yes,regional_variant,39,"die Fasnacht (CH) →D, A:",regional_variant_or_reference
b1_0816,Fasching; D: Karneval,,,,B1,phrase,yes,no,yes,multi_word_expression,39,Fasching; D: Karneval,
b1_0821,Fauteuil,der,"-s (A, CH)",,B1,noun,yes,yes,yes,regional_variant,39,"der Fauteuil, -s (A, CH) →",regional_variant_or_reference
b1_0834,Fahrrad,das,¨-er,,B1,noun,yes,yes,yes,regional_variant,39,"das Fahrrad, ¨-er →D, A:",regional_variant_or_reference
b1_0835,Rad; CH: Velo,,,,B1,phrase,yes,no,yes,multi_word_expression,39,Rad; CH: Velo,
b1_0845,Familienstand,der,,,B1,noun,yes,yes,yes,multi_word_expression; regional_variant,39,"der Familienstand (D, A) →",regional_variant_or_reference
b1_0848,Fantasie,die,-n,,B1,noun,yes,yes,yes,multiple_forms,39,"die Fantasie/Phantasie, -n",
b1_0870,Ferien,die,,,B1,noun,yes,yes,yes,multi_word_expression; regional_variant,40,"die Ferien (Pl.) (CH) →D,",regional_variant_or_reference
b1_0871,Ferien-,,,,B1,word_part,review,no,no,,40,Ferien-,word_part_or_prefix
b1_0880,festhalten,,,,B1,verb,yes,no,yes,separable_verb,40,"festhalten, hält fest,",
b1_0881,festlegen,,,,B1,verb,yes,no,yes,separable_verb,40,"festlegen, legt fest,",
